ENSTGUG00000000230, ENSTGUT00000000237
ENSTGUG00000007034, ENSTGUT00000007427
ENSTGUG00000007152, ENSTGUT00000007548
ENSTGUG00000007338, ENSTGUT00000007630
ENSTGUG00000007356, ENSTGUT00000007764
ENSTGUG00000007470, ENSTGUT00000007847
ENSTGUG00000008288, ENSTGUT00000008625
ENSTGUG00000008365, ENSTGUT00000008776
ENSTGUG00000009008, ENSTGUT00000009404
ENSTGUG00000009049, ENSTGUT00000009524
ENSTGUG00000009086, ENSTGUT00000009497
ENSTGUG00000010198, ENSTGUT00000010644
ENSTGUG00000010241, ENSTGUT00000010728
ENSTGUG00000010323, ENSTGUT00000010799
ENSTGUG00000010491, ENSTGUT00000011027
ENSTGUG00000010725, ENSTGUT00000011172
ENSTGUG00000010876, ENSTGUT00000011360
ENSTGUG00000011653, ENSTGUT00000012215
ENSTGUG00000011938, ENSTGUT00000012445
ENSTGUG00000012082, ENSTGUT00000012584
ENSTGUG00000012196, ENSTGUT00000012728
ENSTGUG00000012529, ENSTGUT00000013052
ENSTGUG00000012538, ENSTGUT00000013090
ENSTGUG00000012579, ENSTGUT00000013105
ENSTGUG00000013030, ENSTGUT00000013571
ENSTGUG00000013222, ENSTGUT00000013778
ENSTGUG00000013246, ENSTGUT00000013796
ENSTGUG00000013342, ENSTGUT00000013892
ENSTGUG00000015038, ENSTGUT00000015643
ENSTGUG00000015909, ENSTGUT00000016540
ENSTGUG00000016020, ENSTGUT00000016653
ENSTGUG00000016333, ENSTGUT00000016977
ENSTGUG00000017352, ENSTGUT00000018038
ENSTGUG00000017358, ENSTGUT00000018039
ENSGALG00000000367, ENSGALT00000000499
ENSGALG00000001262, ENSGALT00000001916
ENSGALG00000001835, ENSGALT00000002837
ENSGALG00000002106, ENSGALT00000053947
ENSGALG00000003149, ENSGALT00000004981
ENSGALG00000003713, ENSGALT00000005893
ENSGALG00000003748, ENSGALT00000005949
ENSGALG00000003833, ENSGALT00000039677
ENSGALG00000003911, ENSGALT00000006226
ENSGALG00000004280, ENSGALT00000006804
ENSGALG00000004573, ENSGALT00000007279
ENSGALG00000004590, ENSGALT00000007303
ENSGALG00000005215, ENSGALT00000008381
ENSGALG00000005332, ENSGALT00000036264
ENSGALG00000005400, ENSGALT00000008674
ENSGALG00000006072, ENSGALT00000088374
ENSGALG00000006112, ENSGALT00000031281
ENSGALG00000006167, ENSGALT00000009957
ENSGALG00000006170, ENSGALT00000009961
ENSGALG00000006202, ENSGALT00000064460
ENSGALG00000006490, ENSGALT00000010490
ENSGALG00000007217, ENSGALT00000011683
ENSGALG00000007234, ENSGALT00000011704
ENSGALG00000007409, ENSGALT00000011985
ENSGALG00000007550, ENSGALT00000012208
ENSGALG00000007623, ENSGALT00000012332
ENSGALG00000008198, ENSGALT00000040123
ENSGALG00000008294, ENSGALT00000013506
ENSGALG00000008357, ENSGALT00000013608
ENSGALG00000008456, ENSGALT00000040102
ENSGALG00000008486, ENSGALT00000013830
ENSGALG00000008574, ENSGALT00000013965
ENSGALG00000008591, ENSGALT00000013988
ENSGALG00000009366, ENSGALT00000015254
ENSGALG00000009638, ENSGALT00000015694
ENSGALG00000009674, ENSGALT00000057314
ENSGALG00000009705, ENSGALT00000068256
ENSGALG00000010029, ENSGALT00000016288
ENSGALG00000010691, ENSGALT00000017390
ENSGALG00000010812, ENSGALT00000062448
ENSGALG00000010943, ENSGALT00000050419
ENSGALG00000011009, ENSGALT00000017933
ENSGALG00000011040, ENSGALT00000069526
ENSGALG00000011250, ENSGALT00000018356
ENSGALG00000011614, ENSGALT00000018969
ENSGALG00000013007, ENSGALT00000037501
ENSGALG00000013022, ENSGALT00000021261
ENSGALG00000013311, ENSGALT00000021741
ENSGALG00000014071, ENSGALT00000022784
ENSGALG00000014695, ENSGALT00000023686
ENSGALG00000016020, ENSGALT00000059588
ENSGALG00000016607, ENSGALT00000026803
ENSGALG00000016707, ENSGALT00000074335
ENSGALG00000016868, ENSGALT00000027248
ENSGALG00000017271, ENSGALT00000071659
ENSGALG00000019824, ENSGALT00000031497
ENSGALG00000020805, ENSGALT00000033345
ENSGALG00000021272, ENSGALT00000034294
ENSGALG00000025804, ENSGALT00000061408
ENSGALG00000026091, ENSGALT00000042721
ENSGALG00000027771, ENSGALT00000045934
ENSGALG00000027793, ENSGALT00000017809
ENSGALG00000029502, ENSGALT00000070701
ENSGALG00000029845, ENSGALT00000046823
ENSGALG00000030826, ENSGALT00000057622
ENSGALG00000031977, ENSGALT00000078146
ENSGALG00000032986, ENSGALT00000047691
ENSGALG00000034025, ENSGALT00000055224
ENSGALG00000034427, ENSGALT00000053422
ENSGALG00000034615, ENSGALT00000046530
ENSGALG00000035051, ENSGALT00000081102
ENSGALG00000035466, ENSGALT00000078230
ENSGALG00000036840, ENSGALT00000089186
ENSGALG00000037557, ENSGALT00000048582
ENSGALG00000037744, ENSGALT00000048794
ENSGALG00000038087, ENSGALT00000074131
ENSGALG00000038242, ENSGALT00000079627
ENSGALG00000038789, ENSGALT00000073089
ENSGALG00000040062, ENSGALT00000069306
ENSGALG00000040424, ENSGALT00000067040
ENSGALG00000041524, ENSGALT00000046698
ENSGALG00000041808, ENSGALT00000064540
ENSGALG00000042371, ENSGALT00000077598
ENSGALG00000043301, ENSGALT00000062910
ENSGALG00000043728, ENSGALT00000053703
ENSGALG00000044468, ENSGALT00000087666
ENSTGUG00000015546, ENSTGUT00000016201
ENSGALG00000027702, ENSGALT00000042757
ENSGALG00000034895, ENSGALT00000052185
ENSGALG00000025788, ENSGALT00000107018
ENSGALG00000043605, ENSGALT00000065724
ENSGALG00000006270, ENSGALT00000047552
ENSGALG00000043998, ENSGALT00000083411
