SCN1A	ENSTGUG00000007356	ENSGALG00000010943
CATSPERB	no model	BLAST reveals a few exons between TC2N and PPP4R3A @ NC_006092.5 44605024-44593158
CATSPERD	no model	BLAST reveals two exons between syntenic genes @ NC_006089.5 106268532-106270309
CATSPERZ	no model	missing; no hits downstream of KCNK4 in chk
CATSPERE	ENSTGUG00000008288	ENSGALG00000010691
CATSPERG	no model	missing
CATSPER1	no model	missing
CATSPER2	no model	ENSGALG00000037744 (this is more likely CACNA1S)
CATSPER3	no model	chr13:16342089-16351976
CATSPER4	no model	missing
BSND	no model	ENSGALG00000043998
LRRC8A	ENSTGUG00000004233	ENSGALG00000004573
LRRC8B	ENSTGUG00000006230	ENSGALG00000006167
LRRC8C	ENSTGUG00000006226	ENSGALG00000006170
LRRC8D	ENSTGUG00000006223	ENSGALG00000020805
LRRC8E	no model	did not find in chk BLAST upstream of MAP2K7
